query,subject,score,label
644186,59336,0,0
50835,27286,0,0
26121,6635,895,1
6205,6134,809,1
25816,9985,0,0
11319,5702,818,1
1508,29974,0,0
200576,29101,0,0
23190,2263,791,1
153642,121391,0,0
1363,5174,0,0
10694,5522,860,1
4790,5966,864,1
10524,54799,842,1
5192,23200,0,0
6218,6135,800,1
6124,25873,962,1
6599,6760,847,1
9967,7268,0,0
5933,91750,800,1
28960,2317,827,1
10025,892,807,1
55094,55837,834,1
10047,10743,0,0
245812,7515,0,0
161497,29942,0,0
57467,57661,0,0
27335,10480,987,1
4771,154810,816,1
1026,1018,738,1
200424,3164,0,0
1401,90025,0,0
84312,5133,0,0
6129,2197,800,1
4851,29933,0,0
23580,151011,873,1
3692,6194,798,1
57630,5330,0,0
9453,6441,0,0
5695,5698,821,1
9935,85464,0,0
2959,2962,930,1
29015,57862,0,0
79582,8407,0,0
5460,4597,0,0
4057,79647,0,0
246184,29945,993,1
26153,26960,0,0
4821,2923,0,0
5686,5682,962,1
10907,11193,800,1
56894,23122,0,0
5469,10001,993,1
6866,115701,0,0
6229,6161,800,1
121391,6580,0,0
4171,4176,993,1
1111,4990,0,0
8839,79674,0,0
387338,3437,0,0
7561,29086,0,0
221400,139818,0,0
4704,4541,800,1
91801,201266,0,0
5707,5710,961,1
3241,7982,0,0
4619,3017,0,0
9967,2128,0,0
3376,23529,0,0
7531,7532,855,1
140890,2878,0,0
8886,10607,820,1
124995,6182,819,1
2774,10916,855,1
29915,9070,782,1
8554,5747,708,1
7818,9735,0,0
2121,3098,0,0
1376,4438,0,0
2011,3596,0,0
1434,7174,734,1
729,4636,0,0
23209,2011,0,0
1308,27346,0,0
6634,23450,867,1
51343,10393,993,1
6934,11014,0,0
7043,7046,870,1
3007,148362,0,0
11258,80310,775,1
23020,56949,961,1
5709,5707,961,1
9246,7314,800,1
22948,988,980,1
122953,55361,0,0
7355,5289,0,0
56259,114836,0,0
284058,54934,710,1
59345,51764,993,1
8289,86,803,1
462,8818,0,0
3554,4615,993,1
64895,23499,0,0
6232,6164,973,1
2551,611,0,0
55737,3069,815,1
90480,6150,800,1
2963,6908,870,1
9521,51520,847,1
5017,2739,0,0
27339,57703,862,1
3977,440138,0,0
4726,4724,906,1
4736,6229,745,1
6059,7311,800,1
5549,7200,0,0
6203,10480,800,1
602,53836,0,0
1187,8662,0,0
9552,2330,0,0
55757,8710,0,0
2041,220323,0,0
4713,4712,800,1
6143,2107,800,1
171568,27297,921,1
6142,6230,962,1
5687,10197,815,1
22933,10224,0,0
170679,23358,0,0
10576,5515,860,1
4584,54986,0,0
8463,10413,787,1
51605,6726,768,1
6159,6156,800,1
6208,6155,962,1
3872,90139,0,0
6232,6223,959,1
54954,10652,0,0
55650,5409,0,0
25989,10865,0,0
699,79980,929,1
1960,2798,0,0
23433,26249,0,0
6129,6232,962,1
1107,57504,832,1
10573,57129,935,1
80019,11052,0,0
6515,3269,0,0
6147,6134,808,1
387338,5236,0,0
55781,6193,800,1
50509,1495,0,0
51593,51310,0,0
3787,259197,0,0
160,163,852,1
59082,8672,0,0
10761,54014,0,0
441478,219988,0,0
9525,84936,819,1
122622,5207,0,0
54962,4172,741,1
2827,7454,0,0
4778,92521,0,0
5420,51303,0,0
983,29945,993,1
9580,10452,0,0
902,2966,993,1
51116,118487,800,1
6726,6227,800,1
57047,538,0,0
203523,3787,0,0
6159,25873,800,1
23521,6223,961,1
23097,892,828,1
9095,2232,0,0
4711,4715,961,1
5714,5709,972,1
203427,2222,0,0
245802,285313,0,0
9026,83940,859,1
29101,57610,0,0
868,7316,870,1
23408,51582,0,0
10661,80746,0,0
7581,1287,0,0
285025,84444,0,0
5495,3476,860,1
64210,9391,945,1
2621,9306,0,0
10193,123872,0,0
8976,147179,847,1
4211,4212,971,1
991,10575,993,1
9415,1144,0,0
6000,7089,0,0
29927,6208,867,1
6130,6224,813,1
83940,26145,806,1
122042,219402,0,0
4736,6133,963,1
53345,57580,0,0
6774,1956,742,1
9325,84164,943,1
6595,86,840,1
6222,6173,800,1
23545,10159,820,1
137075,55006,0,0
713,712,870,1
56940,4862,0,0
8844,84280,0,0
11137,57062,809,1
6129,6157,963,1
7516,8440,0,0
4282,5110,804,1
285955,11154,0,0
5684,5721,813,1
6189,23480,800,1
5721,5683,818,1
9167,55299,0,0
5705,5691,972,1
5966,4793,874,1
6147,26046,800,1
6627,24148,866,1
6629,9129,800,1
5148,5138,800,1
168374,64753,0,0
26517,79017,0,0
6202,6208,962,1
2966,2068,998,1
7099,51185,0,0
5861,2664,809,1
1440,51171,0,0
6203,6218,961,1
23091,9969,993,1
84365,6160,799,1
1353,1660,0,0
252884,51282,816,1
6132,1938,800,1
340719,9093,0,0
6228,6169,958,1
23326,64848,0,0
3437,3442,845,1
51258,54998,800,1
28985,23608,0,0
6218,6130,800,1
54910,4218,0,0
51668,9267,0,0
347240,51341,0,0
7035,84944,0,0
55696,55110,800,1
6201,6136,949,1
7073,988,980,1
6176,6155,960,1
6227,25873,800,1
6169,6209,800,1
84273,23581,0,0
130340,5042,0,0
4710,55967,969,1
5721,5705,817,1
1360,93621,0,0
2783,2787,993,1
7508,9555,728,1
10216,23178,0,0
6726,6201,800,1
7186,9641,860,1
6138,6729,800,1
7052,5737,0,0
2058,1123,0,0
6130,6202,960,1
9527,10228,819,1
51231,11152,0,0
4728,4729,962,1
7415,10728,806,1
158521,10897,0,0
50854,6285,0,0
2968,5439,800,1
55124,63916,0,0
7165,51100,798,1
6874,64682,835,1
8533,9318,912,1
22989,143503,0,0
10285,29127,842,1
83706,63951,0,0
10714,4172,806,1
3678,10398,0,0
55299,51154,874,1
8904,2178,0,0
56647,23177,0,0
252884,353274,813,1
51377,5682,823,1
9054,84650,0,0
444,130013,0,0
9700,84892,0,0
6874,8697,843,1
6164,11113,0,0
9129,23451,879,1
22794,23020,800,1
9282,9969,854,1
353299,6624,0,0
6146,6230,958,1
154881,5982,0,0
282679,51400,0,0
80342,6788,860,1
6885,8517,742,1
11342,3045,0,0
29090,65986,0,0
1846,5695,0,0
2171,29114,808,1
124641,79053,0,0
6632,25804,800,1
399,4200,0,0
375056,91752,0,0
283869,51533,0,0
5709,5692,961,1
313,4584,0,0
150684,6288,0,0
7903,84461,0,0
283748,57338,0,0
140459,58490,741,1
57091,56899,766,1
79364,25796,0,0
54763,675,0,0
9889,4857,0,0
11198,7150,768,1
2068,6908,851,1
79370,83696,782,1
151636,50487,0,0
112724,10345,0,0
4978,4892,0,0
27258,10465,800,1
80314,6813,0,0
1059,25909,0,0
6210,23480,800,1
3068,10736,0,0
54764,2875,0,0
80818,1017,0,0
4700,4706,998,1
50487,5100,0,0
5954,7415,804,1
1616,3773,0,0
8973,1002,0,0
51659,9837,998,1
6137,6191,963,1
64682,119504,997,1
130106,6103,0,0
23139,3111,0,0
57198,79895,0,0
8724,51119,819,1
79132,8794,713,1
8870,339122,0,0
9446,10941,0,0
23492,1911,828,1
81488,5430,737,1
200081,3376,768,1
285315,2262,0,0
23324,79789,0,0
23450,23020,840,1
4338,8633,0,0
5937,5479,771,1
9092,6628,800,1
29098,4054,0,0
941,286262,0,0
53833,117532,0,0
4316,4849,729,1
150684,7027,804,1
51557,1143,0,0
525,1657,819,1
4829,56105,0,0
57617,116337,0,0
388533,23759,0,0
7314,5111,870,1
10614,51574,803,1
22983,54490,0,0
6683,63916,0,0
51645,6628,800,1
6152,6128,962,1
4041,9650,0,0
50,23171,822,1
6014,93643,0,0
9745,81539,0,0
5917,9255,988,1
338339,1911,0,0
80830,92335,0,0
51406,6512,0,0
340168,92906,0,0
4541,4708,800,1
113802,29098,0,0
3191,4026,801,1
5516,5520,878,1
8030,716,752,1
10794,92170,0,0
119392,7093,0,0
3931,26206,0,0
30000,1808,0,0
7157,6799,0,0
23764,5607,0,0
5771,185,0,0
7252,55211,0,0
23586,57088,0,0
401505,5051,0,0
51604,8733,945,1
10307,10801,0,0
6634,51362,800,1
57794,55573,799,1
116984,3475,0,0
84135,7750,0,0
89797,8846,0,0
3487,3479,870,1
2553,836,800,1
196528,55193,936,1
55703,11128,869,1
132789,29934,820,1
7068,57502,0,0
9775,6633,842,1
3796,3458,0,0
79188,337867,860,1
4216,27246,0,0
7841,80267,754,1
6235,6204,821,1
3029,10162,0,0
7135,4621,948,1
284307,80332,0,0
4654,83593,0,0
80700,9351,0,0
64978,64968,800,1
8886,84154,819,1
57628,6655,0,0
4731,4719,958,1
51807,84524,710,1
64849,26747,0,0
6170,6159,800,1
26009,26022,0,0
3975,4582,0,0
995,5364,0,0
6768,23466,0,0
3790,4317,0,0
3950,59272,0,0
84617,10376,791,1
81846,56948,0,0
4616,10861,0,0
5806,23518,0,0
10643,10642,990,1
4798,7316,800,1
9806,2868,0,0
25842,4678,780,1
54921,8626,0,0
5705,5702,971,1
10538,392,0,0
3182,58155,761,1
6233,6146,962,1
3727,2353,827,1
5047,51660,0,0
4710,4731,800,1
8932,5931,723,1
6138,2197,800,1
6944,10761,710,1
5689,5691,970,1
9020,8517,809,1
4154,4015,0,0
58485,27095,823,1
81488,79871,705,1
5978,23309,870,1
4129,3790,0,0
51614,11226,0,0
4729,4538,800,1
25911,55801,0,0
50619,613212,0,0
51378,117195,0,0
22977,80157,0,0
1537,7381,713,1
7786,7141,0,0
8089,139628,714,1
6137,6223,960,1
6928,91272,0,0
6132,10767,800,1
23264,10148,0,0
84309,7158,844,1
22913,10658,807,1
58490,55197,808,1
56155,9046,0,0
1801,1808,0,0
6201,10209,800,1
51009,79139,860,1
9804,23204,0,0
84946,6698,0,0
6472,387,873,1
10953,6897,852,1
29126,26224,0,0
3071,26999,885,1
57175,4802,827,1
3560,2957,0,0
5700,5709,961,1
6117,80010,993,1
8735,9536,0,0
51116,7163,806,1
11157,1207,773,1
6132,2107,800,1
4673,2911,0,0
6510,116,0,0
56915,23016,998,1
7919,9939,993,1
51234,2796,798,1
85457,63924,0,0
747,4166,0,0
4720,27089,800,1
79090,6399,828,1
64072,54859,0,0
10962,2525,0,0
6188,6147,818,1
6722,171023,0,0
1946,3852,0,0
29934,51193,0,0
3959,6311,0,0
988,6628,995,1
5713,5710,961,1
27339,56949,959,1
58494,8928,0,0
4728,4537,800,1
23708,768211,0,0
2178,55629,0,0
6187,6222,961,1
85457,57120,0,0
92714,347,0,0
813,10280,0,0
7328,246175,0,0
54207,11319,0,0
5687,5696,972,1
23162,23542,811,1
80335,131578,0,0
92305,54861,0,0
6228,6155,961,1
114815,1016,0,0
5699,50837,0,0
1048,8576,0,0
84817,9948,816,1
80273,3313,867,1
122769,10313,0,0
6135,100128731,800,1
6142,6217,962,1
254170,55771,0,0
1915,6135,863,1
10254,25930,858,1
2553,841,800,1
51042,4148,0,0
54810,2899,0,0
79041,2852,0,0
55967,4702,841,1
23471,1859,0,0
53405,55527,0,0
488,928,0,0
5288,9824,0,0
8575,27067,742,1
6191,6207,998,1
9837,27112,0,0
1019,3454,993,1
6324,323,0,0
259289,51115,0,0
84246,23097,815,1
372,2593,0,0
6573,3872,0,0
135152,219988,0,0
2551,79047,0,0
4125,65986,0,0
56623,3560,0,0
5422,64073,0,0
7123,7124,800,1
5708,5688,972,1
28987,378925,0,0
50943,5002,0,0
55770,84958,0,0
116984,7637,0,0
2712,553,0,0
22948,7203,862,1
6520,4129,0,0
84296,6118,993,1
23545,8992,768,1
8740,8771,855,1
5052,7328,798,1
56105,114803,0,0
51098,200894,816,1
64405,54659,0,0
9815,8874,857,1
56259,6925,0,0
11018,8832,0,0
55629,55802,870,1
4696,4700,998,1
51691,6633,800,1
10657,10521,812,1
5687,5720,777,1
768211,124801,0,0
4661,4862,0,0
54468,5500,0,0
146223,10236,0,0
5880,5881,855,1
6271,6286,777,1
6233,6135,956,1
231,2027,806,1
23450,6635,831,1
55696,9775,842,1
6144,6164,973,1
1938,6189,848,1
6727,6159,800,1
79682,5413,0,0
10713,84675,817,1
2175,2793,0,0
23137,10098,0,0
23492,6045,963,1
6595,9611,816,1
1263,4237,0,0
6317,28970,809,1
23481,10813,826,1
27316,3185,791,1
3162,8408,0,0
8881,51343,993,1
89,5443,0,0
6728,6230,800,1
6227,6147,956,1
811,5034,866,1
1582,5939,0,0
7481,4666,0,0
171568,5434,860,1
1018,9134,811,1
64768,140836,0,0
11128,84172,808,1
23389,892,827,1
150684,25942,0,0
6827,28951,0,0
1288,55254,0,0
9341,2054,993,1
54221,1838,710,1
28966,26130,864,1
6228,6158,873,1
2150,1471,0,0
3053,7132,0,0
80095,269,0,0
58491,6224,0,0
972,1514,870,1
5036,55811,0,0
4731,4538,800,1
55781,10322,0,0
1375,114879,0,0
84446,10592,0,0
6452,64399,0,0
55970,55576,0,0
4176,5111,871,1
7336,55611,870,1
10898,92359,0,0
5156,5295,702,1
4854,7347,0,0
80168,9638,0,0
255220,1489,0,0
84876,3312,0,0
8189,64506,719,1
55534,1009,0,0
57187,9690,777,1
83851,10099,0,0
1537,4700,800,1
6124,4736,962,1
7314,7874,870,1
6844,6809,993,1
200933,5738,0,0
537,80004,0,0
3015,2005,0,0
89849,217,0,0
989,6294,782,1
51073,28998,904,1
1915,6230,800,1
81551,27095,810,1
10240,64963,959,1
1212,54892,842,1
4695,4711,998,1
265,28987,0,0
22937,8125,0,0
9129,6633,961,1
79180,4283,0,0
11019,9079,0,0
342184,10691,0,0
1956,5295,871,1
6727,6726,972,1
29107,10482,891,1
55094,84292,768,1
2107,6229,800,1
6194,23480,800,1
119,9475,719,1
11103,54606,813,1
5683,5690,973,1
8662,84066,0,0
8881,29945,993,1
51493,5511,822,1
6727,6204,800,1
22874,10435,0,0
3903,8825,0,0
821,8504,0,0
6173,26046,800,1
5431,6829,816,1
2590,22871,0,0
6515,80055,0,0
7515,9554,798,1
9869,8290,852,1
7429,5362,0,0
6747,54499,827,1
170575,54014,0,0
51440,80036,0,0
22937,11083,0,0
8510,10157,0,0
51602,84365,818,1
9784,30010,0,0
254428,2937,0,0
23619,7332,0,0
1786,7316,800,1
56889,114548,0,0
10743,28954,0,0
6256,57546,0,0
10920,3198,0,0
8741,3061,0,0
80010,6118,993,1
1659,55110,800,1
6189,6158,808,1
654790,374860,0,0
64978,54998,809,1
8453,23532,713,1
7385,4702,800,1
324,56998,916,1
6208,1013,0,0
23200,5549,0,0
10952,6184,800,1
5396,259217,0,0
7571,387496,0,0
64963,220001,0,0
1058,140766,0,0
6139,6173,800,1
94081,9412,0,0
9265,79848,0,0
5713,11047,810,1
3768,1737,0,0
9232,51343,993,1
4172,554,0,0
4899,760,0,0
4090,115861,0,0
10566,51076,0,0
6210,6176,962,1
10926,8317,978,1
6202,6728,800,1
6143,10767,800,1
388662,8295,0,0
4991,23205,0,0
1974,8672,942,1
23648,8861,862,1
8737,4725,777,1
4778,6203,0,0
6548,57616,0,0
84967,5694,0,0
10952,6206,800,1
11030,8602,0,0
1188,27097,0,0
7561,5198,0,0
1459,26053,710,1
11059,4113,0,0
22913,27316,782,1
355,841,993,1
5431,404672,800,1
80306,9412,993,1
79827,1634,0,0
164312,63874,0,0
793,51332,0,0
663,9820,0,0
57708,22807,0,0
27258,11193,800,1
3563,4915,0,0
4102,64975,0,0
6181,51065,820,1
9313,8745,0,0
8976,10163,842,1
10657,10083,0,0
1107,53615,806,1
3177,7016,0,0
10941,5589,0,0
4537,4725,800,1
343035,1967,798,1
4071,6521,0,0
23170,1915,826,1
6132,6169,961,1
8668,8667,942,1
2539,2770,0,0
3445,5985,0,0
11085,84913,0,0
54512,10438,822,1
23524,79706,800,1
51693,83638,748,1
65003,90480,956,1
5510,63898,869,1
54658,54659,993,1
51073,219927,841,1
219541,1024,827,1
3192,988,980,1
80243,23321,0,0
10252,1992,0,0
81796,215,0,0
8896,57703,800,1
2137,55572,0,0
4715,4728,800,1
7314,5690,800,1
23195,56894,0,0
27148,2091,0,0
8987,5509,819,1
4729,8801,802,1
5469,219541,993,1
51474,9858,0,0
362,22808,0,0
59343,5905,856,1
54579,9535,0,0
3802,567,849,1
4653,50937,0,0
8318,4172,904,1
10589,9527,0,0
27091,205564,0,0
29978,84993,771,1
2949,6322,0,0
23037,9736,0,0
339390,3656,0,0
3960,150684,0,0
196528,8110,806,1
6401,316,0,0
56915,22894,998,1
701,79003,929,1
6181,6202,961,1
91966,51645,0,0
23612,93323,0,0
26986,113251,800,1
4709,7386,800,1
5197,64854,0,0
944,11334,0,0
6336,80740,0,0
9814,815,0,0
157310,23217,0,0
4654,119710,0,0
2217,213,870,1
6917,5434,851,1
5699,5696,815,1
1915,6232,820,1
50508,162681,0,0
2107,6161,800,1
92086,8912,0,0
624,4982,0,0
3376,9521,837,1
26121,6633,970,1
7428,55729,800,1
6339,11266,0,0
5604,57563,0,0
957,55613,0,0
5501,5504,829,1
401265,4216,0,0
80145,83858,0,0
10254,7316,870,1
84258,148281,837,1
51588,142684,0,0
6723,10458,0,0
84950,4236,935,1
10617,55870,0,0
9648,5225,0,0
5699,5698,870,1
10714,5111,946,1
8558,146691,0,0
259217,7322,0,0
10055,7341,870,1
5714,5702,971,1
2239,10082,843,1
4701,4541,800,1
5713,5692,973,1
5083,286144,0,0
2947,55846,0,0
96764,51626,0,0
54707,5431,845,1
4646,7311,800,1
8175,58538,734,1
55011,661,742,1
9400,51246,0,0
81609,4947,0,0
7064,7328,713,1
22987,53942,0,0
6908,5434,851,1
4714,4707,800,1
27434,9139,0,0
4705,1537,800,1
5432,2957,800,1
3595,340419,0,0
6590,1991,870,1
53407,9554,818,1
136371,63826,0,0
9416,9343,971,1
134147,1051,0,0
60675,7043,0,0
4664,1553,0,0
6902,26277,0,0
5707,5690,971,1
57708,79148,0,0
122970,8504,0,0
23451,11325,993,1
4015,121260,0,0
5648,158471,0,0
22905,6695,0,0
114569,9282,0,0
494115,283600,0,0
4720,4708,800,1
4205,65268,0,0
57623,208,0,0
6202,6193,955,1
338661,80724,0,0
93129,135250,0,0
5684,5691,971,1
164,163,857,1
6147,2197,953,1
27340,23774,0,0
988,3065,980,1
10733,340719,0,0
84612,23286,820,1
1019,1026,993,1
988,79706,800,1
266743,8930,0,0
5692,94056,816,1
7023,2186,936,1
6222,166863,0,0
23352,57180,0,0
5621,51268,0,0
26011,23765,0,0
6169,4736,960,1
6548,55500,0,0
3313,119504,0,0
5516,80789,993,1
10054,6817,820,1
2071,5436,800,1
6259,3802,0,0
6135,6202,964,1
6727,6227,800,1
9440,90390,742,1
777,115353,0,0
324,7037,0,0
5646,3698,0,0
347,128209,0,0
8936,55845,866,1
6233,6161,800,1
51163,5913,0,0
6191,25873,964,1
10620,417,0,0
55770,3060,0,0
2219,23513,0,0
6169,2197,800,1
699,988,980,1
4363,246213,0,0
9131,4725,777,1
5286,64778,0,0
5693,5688,971,1
11137,26256,0,0
8907,8905,986,1
6094,6665,0,0
140766,255488,0,0
254428,4430,0,0
6605,7289,0,0
81579,7851,0,0
84708,84501,0,0
53918,6232,800,1
55624,1316,0,0
151011,5414,857,1
51619,58499,0,0
375318,26145,0,0
399979,2182,0,0
10096,10097,940,1
3643,3630,870,1
2058,2617,812,1
4694,51079,800,1
64786,84163,0,0
356,8771,800,1
65080,51116,800,1
84844,51691,800,1
134,2782,800,1
7846,208,0,0
673,5578,871,1
51065,6130,821,1
23016,54512,998,1
5034,10575,713,1
9882,148867,0,0
4711,4708,800,1
30811,27327,0,0
200523,8451,0,0
50514,2852,0,0
5411,9360,798,1
5153,9967,0,0
5714,7311,800,1
220134,117195,0,0
10974,54112,0,0
3958,1622,842,1
5037,374955,0,0
3643,3667,870,1
202500,54107,0,0
286256,641700,0,0
55720,51504,800,1
10155,10576,811,1
6152,7311,962,1
6164,7311,900,1
6210,10767,800,1
9184,246184,929,1
1659,79727,742,1
58528,8508,0,0
9479,23542,816,1
64102,53340,0,0
327,54788,0,0
8658,128553,0,0
55715,5256,734,1
831,823,825,1
100131801,3998,0,0
23224,11018,0,0
23414,10474,0,0
5286,9685,800,1
23560,10813,873,1
1982,136371,0,0
9943,5557,0,0
51073,1537,713,1
197131,5198,777,1
7200,216,0,0
2034,405,870,1
84312,3622,808,1
1447,27180,0,0
57521,2475,976,1
51258,51073,930,1
36,9630,0,0
6217,6232,959,1
7329,9670,859,1
4014,10879,0,0
123879,7334,0,0
54556,10933,828,1
84254,10842,0,0
2521,5062,0,0
7462,7301,0,0
6164,6229,800,1
5433,5430,963,1
11222,128308,813,1
6217,23480,800,1
29886,284114,0,0
6129,6136,957,1
57217,6513,0,0
6233,4798,800,1
10592,6729,838,1
55929,84449,0,0
6942,101,0,0
3552,23025,0,0
10586,57186,0,0
27289,5364,870,1
23019,988,980,1
10425,5394,0,0
50804,51552,0,0
5327,57468,0,0
811,813,855,1
63971,65997,0,0
6125,26135,800,1
129880,1795,0,0
9040,9351,789,1
80781,7253,0,0
7422,11126,0,0
4839,10412,871,1
5726,64108,0,0
3458,80095,0,0
65267,8893,0,0
5034,5589,811,1
83548,10540,807,1
6227,6157,800,1
5528,129684,0,0
26053,7881,0,0
55837,11251,0,0
25885,9533,811,1
668,6624,0,0
6227,6144,955,1
138311,92714,0,0
8761,2123,0,0
10097,10093,940,1
6217,25873,961,1
814,28964,819,1
5898,10232,817,1
146059,26168,0,0
1823,1386,0,0
85464,9815,0,0
558,2621,870,1
10767,6207,800,1
7408,1981,0,0
53833,11000,0,0
9936,55743,0,0
10190,7464,0,0
100505385,56944,0,0
6642,112936,885,1
6217,6157,960,1
9910,1462,0,0
5241,9612,870,1
55186,1805,0,0
26298,254528,0,0
65009,126433,0,0
26035,28990,0,0
2966,5434,800,1
23017,22801,0,0
79956,55601,0,0
6760,5977,890,1
5714,5707,971,1
51649,7818,994,1
346,554,0,0
56269,51665,0,0
5440,2957,800,1
125972,55781,0,0
10025,9968,993,1
64976,64975,941,1
63935,134430,0,0
7132,4049,870,1
3608,116519,0,0
4537,4708,800,1
25915,4725,777,1
26271,996,806,1
80863,27123,0,0
10933,54799,828,1
6745,4714,857,1
6605,26039,842,1
10286,6635,800,1
353299,56978,0,0
10992,23451,993,1
763,83606,0,0
10134,64219,0,0
65003,84545,800,1
23560,10607,815,1
2027,92283,0,0
9968,10001,993,1
4496,84667,0,0
6132,9349,963,1
5787,23420,0,0
5068,83417,0,0
4218,5877,870,1
6133,6161,962,1
472,9197,890,1
57449,140453,0,0
126638,65110,0,0
2296,283234,0,0
26287,89884,0,0
5737,7407,0,0
7424,8532,0,0
23635,2762,0,0
83667,23334,993,1
55929,8125,842,1
83696,6399,720,1
22948,29888,860,1
63924,5430,0,0
399664,1497,0,0
80853,58527,0,0
51340,9939,800,1
84034,55250,0,0
55339,81608,938,1
51642,51021,800,1
6129,4839,797,1
2766,64319,0,0
55113,80153,0,0
219927,51021,800,1
84552,5590,826,1
1287,58512,0,0
9525,10413,787,1
10209,6204,800,1
28987,6234,800,1
6727,6210,800,1
10165,11198,0,0
1160,3426,0,0
5495,7203,860,1
8453,57057,0,0
5694,5701,961,1
799,84935,0,0
5694,5692,972,1
6360,124404,0,0
22916,3838,856,1
51377,5690,867,1
4112,50833,0,0
22913,138046,789,1
5436,6917,816,1
1128,29085,0,0
64968,6183,800,1
6429,254170,0,0
8674,1874,0,0
1747,64900,0,0
6117,4001,855,1
56949,5356,970,1
130540,5360,0,0
9349,6234,958,1
6398,10908,0,0
991,8697,998,1
3827,152002,0,0
5683,5701,962,1
129868,3688,0,0
58985,50616,870,1
6132,9045,962,1
4817,126328,777,1
220074,29994,0,0
6005,7179,0,0
55081,26146,741,1
11330,140767,0,0
5268,8666,0,0
29957,84281,0,0
5710,5688,973,1
51804,2916,0,0
9374,9734,0,0
126,51651,0,0
3670,23635,867,1
23460,9885,0,0
2596,1677,0,0
6129,6209,906,1
2171,2280,804,1
84530,388743,0,0
10928,2628,0,0
23524,55110,800,1
94241,22828,0,0
55299,10412,862,1
4170,439921,0,0
7076,4319,840,1
5595,409,702,1
123872,1469,0,0
2558,5652,0,0
3482,219972,0,0
22794,988,800,1
5708,84938,791,1
58487,84909,0,0
585,54585,847,1
8900,1026,993,1
6634,84950,800,1
51807,9040,0,0
317,84678,0,0
2959,9150,886,1
10043,7316,870,1
4967,51116,820,1
79603,25904,0,0
9320,2913,0,0
54363,284111,0,0
4741,2670,750,1
28957,64979,800,1
27128,5523,0,0
8892,7417,0,0
149420,7005,0,0
5810,55785,0,0
345611,8740,0,0
6129,6156,964,1
57379,23016,895,1
10618,9411,0,0
84315,168667,0,0
9886,7184,0,0
5080,54681,0,0
11193,10594,800,1
51124,1296,0,0
6210,6234,837,1
7027,1876,867,1
6999,602,0,0
2323,147111,0,0
26168,56300,0,0
