id	num_of_genes	pos_rel_genes	neg_rel_genes
MODULE_459	326	1293,3880,151987,301,10370,2335,2697,3693,2532,6422,83604,4783,2669,2353,6347,8501,79602,6774,2517,9899,10752,1003,2180,23158,7357,5569,23423,10395,4088,57129,4318,63940,1806,3684,3576,1439,1543,8534,9173,7702,925,1549,869,54898,4891,27346,2934,4688,51435,8938,9201,1002,10659,64405,5803,9911,23113,5980,6276,9672,54587,7157,3676,10409,4037,9925,5127,9455,5045,383,6319,23277,11247,10324,84971,64979,8809,2051,2358,4486,2045,6041,1936,7277,5596,6573,3627,4803,419,51626,5144,280,57463,80205,728642,53371,55832,51669,116159,80119,54187,58528,4277,9277,135112,9450,28985,4316,51225,4901,58493,64840,51297,8850,79661,56475,114783,55300,55217,84056,55553,55034,83539,57823,23704,85480,473,27131,1057,55520,1469,55325,24149,2140,3097,27199,26034,55843,79366,2803,116931,51477,23367,6477,56062,23164,55915,84792,22803,55693,11120,1690,79446,64328,83444,23484,7101,57165,3046,57480,2702,54866,55785,613,57018,83990,147372,7079,10157,56978,79666,28955,7844,7094,55252,79370,6581,8458,124454,4066,10699,6314,7850,57578,9444,51761,1674,7871,11160,10019,23130,79892,51808,26993,29929,6468,6838,11258,9840,55686,23786,9481,5834,83985,11316,10865,57728,9531,9987,912,81557,3702,10627,57559,10765,9422,1105,57805,4830,9887,1735,54769,5743,54918,83715,11122,84271,25973,55799,54545,114883,23360,10147,55182,25920,10016,1522,7529,29843,55775,60485,55054,5074,23515,22832,8914,114770,8455,80204,81857,11124,8315,84759,56897,79070,81786,79698,4323,64342,58513,246213,84306,116369,85377,115650,57689,26207,342184,29803,23148,11281,51406,8111,84033,79879,23529,55601,51298,6039,3552,2069,3091,633,8701,51427,114798,81618,79837,79098,64922,6801,57602,54840,55015,54998,55023,4069,51479,51056,64218,7980,8876,4063,23417,9950,114569,114294,79026,54674,3688,57674,55179,2260,79657,92369,5608,55191,2849,54566,54784,51497,80306,51201,54852,246175,57569	9623,2572,7419,50937,8428,55856,11216,3502,781,146198,3762,23170,3713,25878,1557,79719,7265,25824,8239,9931,54487,57151,8970,54014,23034,10814,27074,81615,57094,9448,838,728,10237,22856,8225,10873,6711,10320,191585,22871,467,11024,3595,10360,5607,652,25898,1572,4118,28514,6616,57586,6843,796,6277,1716,3678,84249,7432,3187,5930,8608,3083,113,8540,5179,8929,7434,3891,84282,4855,6512,23057,11030,23312,2567,7289,4641,79017,1588,55072,4692,1485,8293,10123,4712,2258,51060,1733,1124,7582,11167,10347,6011,10856,2167,10463,4016,2650,6534,10046,85409,9223,8685,7572,3351,1535,10006,6553,4157,2176,3776,9538,23178,2619,5859,55540,3077,27036,10152,7319,5226,6723,23633,6939,4298,7038,79819,6429,676,3373,2946,5184,5327,6950,83540,5205,2005,5293,25825,10221,2902,10266,5360,6387,6358,29760,23114,3360,84890,2584,9045,2651,3745,9774,7166,7976,4112,55033,5130,155465,56916,7832,5017,7867,23671,22894,5718,9184,7174,4982,7292,7124,6392,1371,23461,8668,10550,825,6232,64097,79868,79784,79364,23509,23286,55744,5768,3037,4668,210,54872,4193,2150,1130,641,9313,54956,2843,80853,51072,2787,89781,9375,9513,11200,55757,54820,3898,3492,2317,7528,7011,285527,358,91056,6241,51444,56344,4957,4082,7216,7381,23511,1837,8558,4199,5813,5531,8544,200081,4070,6261,9407,6428,4893,54507,84666,89,1045,7472,27101,486,6391,54097,117248,10840,3236,4061,10217,5157,353132,283349,83758,10087,3956,8871,8928,10287,387751,975,4860,8511,2004,10014,9833,25970,153222,6894,1728,284403,11328,9595,688,84292,4515,5193,4879,4669,6499,4814,2261,3234,11198,3263,51564,8092,775,6351,10198,5300,835,29,3738,4068,10636,4289,57104,4616,55599,874,3843,4257,215,5745,26154,5457,7424,25833,9027,11034,4720,9028,51377,5927,1778,5478,51053,7716,8337,8099,2483,5566,4624,1719,24141
MODULE_357	73	3880,4071,1645,858,1848,857,5054,5796,667,220,6279,3691,6280,2919,8644,3866,3861,3852,5268,8626,23650,1475,2877,1832,3853,8538,374,760,2201,6702,2709,1947,5055,1294,810,154,2564,3860,6699,114783,5743,4323,3909,6288,57451,10655,9073,5349,3038,3872,3854,3848,3914,9982,2150,1001,5655,7980,3918,1308,3963,8891,51129,5744,9388,81706,25818,112609,83853,90293,1825,84002,1437	22871,10621,58490,27238,3931,84878,3315,23092,4832,57187,9949,6953,8654,80146,114907,80835,2348,123606,64343,10664,145282,8880,2560,8131,1763,13,10446,5649,8554,9646,55786,129080,4154,3074,7556,8725,2889,23542,4607,27246,11065,8125,22803,10528,54828,6204,23382,23138,9031,6794,5017,3598,5023,6633,2512,10456,9394,6440,51635,8711,51564,5778,57606,3934,829,23476,5434,90411,2219,27249,79797,114822,6375
GNF2_FBL	131	3150,6139,7514,6143,51691,9045,3185,6137,6634,6138,23020,3184,10236,10492,6633,29883,4841,6432,23435,8664,10250,6136,8241,8667,10137,8106,6165,1968,6426,6428,6427,6767,23512,8409,3178,6223,6217,6218,6209,6206,6204,6635,10212,10412,64318,1350,4528,3735,6230,6129,6235,6128,6133,4869,6132,689,6434,9255,6125,6224,4736,6130,6124,6227,6228,3921,5993,6147,6194,27316,6202,6201,1975,10465,3065,5478,79009,51182,7818,2971,3094,4673,5859,6187,5757,6188,57050,1736,3837,10657,11340,51082,51406,7536,7329,51668,6191,5930,51386,4691,79101,25926,11052,1937,23076,9512,10772,4666,23350,11224,25873,6169,27292,29080,6161,23225,1665,8883,328,3183,6155,6152,2091,6158,54934,11137,6159,23521,6146,3181,64783	2875,23039,9246,5595,26747,4200,4771,22901,3642,10058,680,10567,4296,492,1915,7127,1310,5678,90865,4248,9202,91137,3993,261734,11001,6736,2523,346,81034,6565,3786,26256,9476,6854,8321,26168,133,9564,7767,7347,11249,1757,1048,9895,2734,29780,23582,1056,3046,56301,1959,7690,10043,25975,10984,3112,11259,4661,2840,8843,57165,3426,1548,81894,1008,10469,8505,1843,10475,3428,51014,5996,10579,11129,4756,23228,79983,2175,27101,6568,23382,5340,5003,2868,10645,59272,26292,846,27141,6813,9982,3925,23646,11054,9857,550,79858,7222,55723,3556,57418,10744,5590,7280,6788,9867,94134,51533,51433,27249,339,55704,11155,9353,79892,1478,3739,9527,535,6895,54677,4707,1460,56616,3418,6917,5862,23171,57030,10260,8536
MORF_PTEN	75	5817,5463,4902,3603,6861,22849,2901,6820,8834,364,56242,5728,11193,3883,5083,4161,23456,3597,8061,3892,10943,10274,9522,11103,57826,7783,2842,2733,1583,5291,9197,27255,25771,10129,55669,662,9991,8028,23269,9063,9095,7541,4108,285527,5440,10564,1386,8629,5509,25830,9491,9425,7029,3849,56623,23131,6927,10781,1506,23774,4437,10277,84628,55274,2709,1993,9252,27334,22976,8856,1339,147179,494115,10775,23545	55653,23218,8566,6388,23223,55811,79834,9804,1511,4616,7702,550,6376,6275,3093,10424,23560,7410,3162,10379,55720,79962,563,23598,983,6557,2523,10540,30812,8777,5950,10296,10856,50808,94241,25813,79969,10309,3768,84918,5651,8000,79158,4850,9450,140688,5708,7089,6096,27128,5066,9881,55573,23418,4131,6758,83989,10212,84299,3958,10573,1188,267,4650,11160,720,2202,79586,55971,57222,54845,10436,624,5690,56995
MORF_WNT1	92	23431,4917,7434,8452,5923,7471,1030,11251,3931,1134,8756,8785,26033,1504,3344,4625,27072,1544,3235,7139,26206,54737,8448,635,1473,54475,4983,10825,6658,763,460,611,23322,10218,8928,5146,3441,7222,23148,23208,2559,1758,54516,4889,10408,2045,8688,570,487,552,5989,6939,3756,1352,7710,419,1417,551,8807,7544,5261,2694,6291,57096,23109,56269,2918,28996,676,5152,9020,6718,3938,5864,2712,23541,26045,4608,27285,4957,6331,4300,9422,57834,1967,7512,168667,646,1823,5620,4829,84991	55773,2917,4542,2946,1033,348,3693,23170,125170,10989,5673,5577,85441,25827,11140,6227,4808,30000,1837,84293,51100,6596,4488,3720,5803,2159,54927,54505,7145,25893,83667,22870,1024,23645,54765,23214,7818,5500,5271,26973,84918,9306,55966,3614,2352,10006,4832,51208,9712,80179,50808,4087,6352,57212,9733,356,80833,7690,1119,11145,6197,4591,2202,109,501,10842,5806,5232,10974,10400,4436,3838,25974,92610,6251,3553,26053,10344,5617,5993,7351,1144,3460,51108,51729,51747,9896,23,6344,3270,1347,26239
MODULE_328	13	2348,1140,1137,1135,1142,2741,1139,2352,2742,5024,8001,1136,5025	10972,836,54583,1981,6634,55704,471,120,248,10567,11137,90865,5339
GNF2_CD97	34	3683,26578,51744,113,11329,9516,2000,6793,8477,3689,8826,79180,55911,3587,313,9976,9051,101,6404,5788,5732,474344,4542,3133,3135,3134,9046,9595,11314,1524,3716,5908,51411,79890	11194,8654,55223,6487,5340,8111,3984,10903,9016,3780,8692,9185,7097,9354,6257,126,2737,6346,51302,623,25828,7637,58504,3990,3857,23077,9737,7137,51284,6445,1748,10457,54581,6361
MODULE_329	48	1293,800,165,4629,2697,5348,1909,1410,3479,72,4660,2281,2314,1140,8048,4604,2247,7433,624,6261,59,4842,7140,786,4703,4632,4625,2702,226,8736,845,3908,6331,3270,8082,4618,7136,1160,4654,4621,8038,58,5350,9172,58498,2273,10290,6445	2230,55109,339479,3557,1821,1757,3798,10943,55683,159,10863,29799,9211,81551,9322,3215,636,5626,1910,83444,4758,2322,3678,1384,22915,79929,3423,8883,5082,10551,8664,51527,3766,10105,9572,219927,55825,10626,2107,3233,10419,10190,8985,5074,84056,1647,23108,81609
GNF2_CKS1B	34	1163,9212,6119,3376,11004,55143,471,699,5902,55723,890,259266,9319,6950,3832,5901,22974,1062,9700,332,991,4172,10535,11065,10592,8833,9918,5036,5983,5984,10575,10606,9833,10112	80774,1716,6492,55253,4723,10776,57559,6657,26762,55539,714,6480,54495,2165,9607,83758,1106,6850,79583,1896,60412,8879,4938,6916,4591,9950,22938,1201,8216,11340,4756,390,57419,65057
MORF_JAK3	87	362,2901,8834,3801,3191,80317,8540,6513,6508,23237,9640,5291,3360,2155,25771,4487,3363,3233,267,2137,4650,8629,9718,7779,7781,4295,5820,2232,9641,284403,9058,886,9148,415,926,83660,3883,5083,54039,9187,7849,3700,9488,5903,3929,84560,1583,4355,25876,222658,23544,26145,5284,5932,1796,23276,27297,6900,80852,177,9032,64386,8751,8718,818,5371,400961,596,8621,1238,25970,22893,1805,4058,4798,6560,2334,22997,3709,6536,9121,6534,11186,124801,1215,3718,23545	2932,11167,22846,8697,27076,1006,54476,81669,54815,10024,64342,1843,79577,84898,85004,8467,51654,2806,54840,10507,9353,9476,79672,5033,1991,8340,22837,7089,30849,23016,5875,6240,22794,11122,27350,2483,9084,7678,9079,29767,7342,80328,55744,4118,2273,96626,1775,5836,337,23118,1855,8793,4939,10424,3684,283489,22928,2162,11177,1147,80145,22909,23075,51066,663,23041,10278,53371,8140,2859,1677,4694,10842,7431,132158,10285,7128,6691,387082,4522,54625,10936,55870,6709,26273,23636,90522
GNF2_STAT6	75	2000,54458,829,963,7040,8826,6892,567,10096,962,23527,10097,4615,837,5062,9815,2124,4478,9208,752,4067,3385,3107,79585,1192,3106,8932,3133,7454,3726,3135,3134,7297,10475,10095,7462,663,2014,3936,79890,27230,5699,26578,9960,83440,63940,382,10092,53827,9802,6778,1794,7805,51291,10094,5880,55233,10109,8635,3635,8773,397,10312,5777,6402,3059,7409,5696,4046,1535,11151,311,2870,23478,54918	1020,1827,2689,54797,10747,23028,2029,115350,6518,5830,80759,91683,114781,6567,55854,2559,6582,6949,23316,2026,3363,6795,5431,11091,3417,4607,1365,2840,5836,49855,5817,7702,6493,3904,6530,154754,5631,10840,4162,57823,152789,5641,2707,9223,2177,9352,55275,8558,1795,5651,1106,468,3597,23098,3587,9949,79132,10875,6228,11013,5366,3835,10592,5334,11097,23192,5657,54097,6571,8659,23582,51639,10436,8326,9512
MORF_RAB1A	179	22827,5861,6745,8301,8480,8892,50626,6256,10540,10075,10467,26009,5529,9686,4190,2734,5887,10175,381,8446,8161,10565,832,3032,27336,26003,5879,23399,8678,10899,103910,4087,23636,3927,377,378,1337,6548,57142,22928,9798,5869,10987,10980,1176,54386,7009,821,23558,10567,9276,4682,22992,5870,84364,9114,10945,1201,6810,5868,1781,27230,7534,23193,8733,9167,11333,5430,6612,6613,7341,5127,23515,10627,10994,7264,23291,6470,8019,6992,7529,64844,2107,23549,10474,3608,10573,5510,1453,6391,8813,7317,5230,805,6746,23608,23214,475,10159,829,9643,55000,4849,5589,1329,10285,5885,10616,6522,6185,10519,6166,79065,1455,26092,9168,5447,10134,10952,55186,7073,9341,23480,7555,10093,10092,2029,3735,5692,5694,2647,6880,8859,1173,5034,8703,4201,1351,10477,23469,3920,55611,5701,5573,5770,57862,23173,23190,3953,5571,1213,9689,7844,9528,5279,7175,9166,10657,7319,1642,1327,9128,5373,25920,9296,7508,372,2548,10438,10959,1059,9554,4733,11137,2764,8799,6311,51366,1523	11231,27240,6671,8540,2150,27102,2567,1749,64105,27129,10062,8929,57147,80896,5008,11341,1380,8312,2348,5653,5516,2560,54866,81616,7416,57030,11200,29803,2822,8727,2251,280,64768,3107,57569,5576,6210,2678,7031,2646,51130,9488,1965,191,51272,1039,754,3804,54545,9650,397,1306,54947,26993,5757,9775,1235,55105,23440,1339,8997,5063,83543,22824,10663,7436,79962,79012,23210,11014,23428,947,160,6521,66008,92703,3972,2796,4485,4716,8609,4580,11024,5433,23040,8565,30837,2739,5585,27086,8408,7133,4723,1415,8554,3939,1991,1462,4259,5746,374868,3563,23595,793,9744,7852,9935,6620,26040,84830,25849,9948,5167,9837,3945,23189,7504,23358,79602,2230,221823,4017,6263,1544,26112,83440,5901,3936,2122,4637,7637,26097,56998,26256,83941,4900,9590,55437,27122,115548,51008,6303,51386,1514,36,51678,51429,57786,1559,9063,3487,7511,6505,63971,114294,54476,79618,409,11022,5691,27065,89848,23270,6197,80829,1996,55786,1131,51231,388,50650,129080,10633,27295,26013,25927,7292,6455,664
MODULE_195	134	2628,3554,25937,8788,7070,2281,8764,4915,3992,6576,9989,8727,2745,1890,4067,7040,29114,100,2638,27346,4137,5653,2770,23334,7849,5528,182,958,4200,8243,26065,4856,5446,32,5733,6005,10661,7075,5708,6181,6727,23518,9343,5596,8131,6574,4771,4082,25776,53371,2702,639,3221,10322,4814,5646,2555,8370,54815,23090,1152,650,63934,54763,8516,6047,6134,5757,8034,9869,2852,5406,8178,54512,4204,5877,96626,116842,550,26973,89122,23530,79087,23741,51312,25932,23008,7189,85366,79805,4641,56990,5203,9895,55074,5725,6548,6747,11059,23098,55004,4248,51340,5527,8898,26994,64359,3021,6257,8100,57545,80119,7064,23471,4690,1134,28514,9474,11133,65258,10525,55704,2002,2872,2307,8301,57661,55740,79077,63916,90139,23509,22929,23080	9487,8260,6524,7781,10239,6778,10938,440275,8888,1781,2560,92840,9681,1139,7175,1775,54918,5693,2803,1435,6622,1264,8419,1960,53354,10147,55742,7181,7545,5909,5901,5813,273,5860,85313,54475,60496,10217,55916,1164,7482,6405,5126,26140,81614,57396,9246,55859,9391,57834,3218,4004,10280,64405,5680,25907,138046,10980,23209,3003,339287,140767,5049,4261,9478,64220,7089,26205,23279,10745,79132,5315,3340,3123,80124,11235,1770,55095,163,1446,10130,3597,1017,5170,168507,3418,5310,55000,1453,158,9363,2618,1558,3347,3714,1281,11065,8813,5510,84901,11166,91272,10979,3817,1587,6204,5698,79811,6660,10594,2969,54843,8464,29887,5481,8302,136,64852,4646,3557,26576,10769,5066,4069,4222,2138,9857,171023,9247,3015,4790,31,3609,11014
GNF2_ITGAL	48	5920,10641,113,11329,841,64601,3820,50650,5732,5583,4154,25777,59307,1521,3134,3004,11119,9595,10507,10384,11118,10123,51411,3683,6793,6494,919,8477,22914,54861,9976,10125,7535,11276,924,9267,11322,5788,474344,5775,23586,868,1844,2534,11186,80342,3716,5908	6601,4905,6595,6011,10346,3178,11157,55179,2999,9798,56164,29028,10661,56891,54800,8326,11170,9314,1266,5104,10218,8629,5792,8660,563,84417,57862,55893,10592,5193,23101,51065,79823,84919,1601,9927,3643,166,10970,325,9947,65083,50649,5001,1804,57509,55654,8110
MODULE_197	147	3725,4609,1028,10370,1958,6659,2353,467,3726,4692,6595,6304,7852,2114,7088,8522,5347,9232,994,11065,4605,4085,983,1104,2305,3609,890,4172,9221,2935,2000,5536,7027,1786,2130,2920,4332,2919,11151,6662,6759,9841,5080,3298,3227,4990,1871,7465,1054,10664,9878,4776,2290,4297,1993,9705,10472,9355,2119,6496,4861,5457,1869,4209,8061,6938,6603,9112,5932,11004,2146,22938,7020,10314,3146,10657,4904,8535,3400,6361,8900,1386,22850,23774,2297,901,1131,3091,5885,9918,9735,8317,3148,1019,9493,699,3838,10592,3066,4831,3642,4790,11331,25799,5990,1959,3204,7913,2963,4150,1749,6874,4097,2969,4211,4661,6749,6787,7594,2672,7678,468,5378,3835,7289,7528,4090,3223,9819,8451,5555,3622,8462,5927,9238,9139,9682,8467,10302,1018,9760,7564,11169,10907,2553,7013,7862	22865,23360,1536,26257,10309,6891,359948,79654,57050,56475,3131,8532,10460,2908,8022,1952,57407,79879,9213,9091,5863,29952,28831,142684,261734,9399,4037,85004,2314,15,63933,55572,760,1207,10462,10749,3313,55904,3174,54802,1975,9663,23592,1474,6352,5937,11198,10098,10152,65055,5078,23113,7350,11026,23405,25959,2811,2707,7064,10903,9910,10558,112755,1604,56667,23087,64092,27074,6935,23223,5149,202333,419,55023,6136,23067,11216,6804,10681,31,4833,24148,942,6133,27445,9969,11001,4985,2853,29942,51293,7125,8853,5093,818,29995,546,433,3959,8216,3812,4068,5322,8914,5196,81786,6772,7849,5912,3312,27333,79053,11190,54962,1967,83636,421,81887,1161,10555,10964,4682,6424,23196,7042,6581,3981,50649,1409,4363,4684,5101,9651,29116,3207,10166,662,57110,4915,23370,1635,6810,8692,528,7298,2029,11136
MODULE_196	23	1780,1759,3800,3925,3832,22919,411,9371,4133,9928,11004,154,10381,10383,7277,6645,4131,9493,1062,8655,3798,10540,1783	83698,3212,1894,9044,51105,5293,2272,26256,80153,54437,191,51696,25782,6247,57553,1842,197,358,84076,2701,10901,6860,7072
MODULE_191	16	4609,6348,6387,6347,7037,4057,1356,3077,6368,7018,6781,4502,6363,6358,6375,2495	84334,1743,142940,472,6997,662,23213,9521,79159,10856,3842,8705,182,63898,200315,6899
GCM_BCL2L1	29	57142,51616,598,29099,26097,8575,27342,5049,30000,11176,2309,9567,81689,4771,5901,1676,64710,1431,65125,81566,56257,10477,5253,2935,51592,84726,51780,51130,10193	11016,8312,79009,7070,2068,3809,27141,1955,6843,57805,4624,64112,8450,51028,54625,23312,830,55567,54928,7141,3702,81671,23413,114904,525,147744,7873,3704,529
